testerId,[scale] How easy was it to understand the recommendation?,[scale] How easy was it to understand the recommendation?_1,[scale] How easy was it to understand the recommendation?_2,[mission] Find a canton with a level of risk: Very High and follow recommendations for driving,[mission] Find a canton with a Medium level of risk and follow recommendations for outdoors,[mission] Find a canton with a High level of risk and follow recommendations for indoors,"[scale] On a scale of 1 to 10, how was your experience with the interface? (1 = not user-friendly at all, 10 = super user friendly)",[multiple_choice] Which way of representing the recommendations did you find the most useful?,[input] Do you have any further comments?,[context] Demographic Questions,[input] What is your age?,[multiple_choice] What gender do you identify as?,[multiple_choice] What is the highest degree or level of education you have completed?,[input] How much time (hours) on average do you spend on your mobile?,Risk,No_action
45124434,5,8,8,direct success: Path 1,direct success: Path 1,direct success: Path 1,10,2,0,1,23,1,1,3,High,1
45123960,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,1
45123960,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,1
45123960,7,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0
45121823,9,7,9,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,33,1,2,4,Low,1
45121823,9,7,9,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,33,1,2,4,Medium,0
45121823,9,7,9,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,33,1,2,4,High,0
45119012,9,9,10,direct success: Path 1,direct success: Path 1,direct success: Path 1,10,2,"According to my thought, Icon and text can be in different proportions. For instance, an icon can be bigger than text so that just in case the icon is not understandable, I can read text.",1,29,0,2,6,Low,1
45119012,9,9,10,direct success: Path 1,direct success: Path 1,direct success: Path 1,10,2,"According to my thought, Icon and text can be in different proportions. For instance, an icon can be bigger than text so that just in case the icon is not understandable, I can read text.",1,29,0,2,6,Medium,0
45119012,9,9,10,direct success: Path 1,direct success: Path 1,direct success: Path 1,10,2,"According to my thought, Icon and text can be in different proportions. For instance, an icon can be bigger than text so that just in case the icon is not understandable, I can read text.",1,29,0,2,6,High,0
45118577,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA
45118577,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0
45118577,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0
45116934,9,7,10,indirect success: Path 1,direct success: Path 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,0
45116934,9,7,10,indirect success: Path 1,direct success: Path 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0
45116934,9,7,10,indirect success: Path 1,direct success: Path 2,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0
45115621,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA
45115621,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,NA
45115621,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,0
45114873,10,10,10,direct success: Path 1,direct success: Path 1,direct success: Path 1,10,2,I feel like the icons in the mixed version could be 10 or 20% bigger,1,32,0,0,2,Low,0
45114873,10,10,10,direct success: Path 1,direct success: Path 1,direct success: Path 1,10,2,I feel like the icons in the mixed version could be 10 or 20% bigger,1,32,0,0,2,Medium,0
45114873,10,10,10,direct success: Path 1,direct success: Path 1,direct success: Path 1,10,2,I feel like the icons in the mixed version could be 10 or 20% bigger,1,32,0,0,2,High,0
45113349,9,9,9,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,The click option can be made more user friendly,1,28,0,2,6,Low,1
45113349,9,9,9,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,The click option can be made more user friendly,1,28,0,2,6,Medium,0
45113349,9,9,9,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,The click option can be made more user friendly,1,28,0,2,6,High,0
45103520,8,8,8,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,48,1,0,1,Low,0
45103520,8,8,8,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,48,1,0,1,Medium,0
45103520,8,8,8,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,48,1,0,1,High,0
45067252,7,7,8,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,52,0,3,1,Low,1
45067252,7,7,8,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,52,0,3,1,Medium,0
45067252,7,7,8,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,52,0,3,1,High,0
45064858,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA
45064858,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,0
45064858,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,1
45030523,10,10,10,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,38,0,2,2,Low,0
45030523,10,10,10,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,38,0,2,2,Medium,0
45030523,10,10,10,direct success: Path 1,direct success: Path 1,direct success: Path 1,9,2,0,1,38,0,2,2,High,0
